,name,avg_rating,reviews_count,company_type,Head_Quarters,Company_Age,No_of_Employee
2693,TO THE NEW,4.3,(148 Reviews),Private,"Noida,Uttar Pradesh + 3 more",14 years old,1k-5k employees (India)
2694,Teamware Solutions,4.1,(148 Reviews),Private,"Chennai,Tamil Nadu + 8 more",19 years old,501-1k employees (India)
2695,Mjunction Services,3.9,(148 Reviews),JV,"Kolkata,West Bengal + 16 more",21 years old,501-1k employees (Global)
2696,Ample Technologies,3.5,(148 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 19 more",25 years old,201-500 employees (Global)
2697,Apparel Group,3.4,(148 Reviews),Private,"Dubai,Dubai + 14 more",23 years old,10k-50k employees (Global)
2698,SEW Infrastructure,4.1,(148 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",62 years old,1k-5k employees (India)
2699,Carrier Midea,4.0,(148 Reviews),"Gurgaon/Gurugram,Haryana + 32 more",10 years old,501-1k employees (India),
2700,ESIC HOSPITAL,4.4,(148 Reviews),Private,"Delhi/NCR,New Delhi + 33 more",70 years old,5k-10k employees (Global)
2701,Aspire Home Financ...,4.1,(148 Reviews),Private,"Mumbai,Maharashtra + 59 more",9 years old,1k-5k employees (India)
2702,EVRY India,3.5,(148 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",29 years old,1k-5k employees (Global)
2703,IREO,3.9,(148 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",18 years old,501-1k employees (Global)
2704,Nspira Management ...,3.8,(148 Reviews),"Hyderabad/Secunderabad,Telangana + 14 more",7 years old,10k-50k employees (Global),
2705,Rosenberger Electr...,4.0,(148 Reviews),Tittmoning + 17 more,64 years old,501-1k employees (India),
2706,Nalco Holding Comp...,4.3,(148 Reviews),Private,Naperville + 23 more,94 years old,10k-50k employees (Global)
2707,ANAROCK Property C...,3.8,(148 Reviews),Private,"Mumbai,Maharashtra + 15 more",5 years old,501-1k employees (India)
2708,T&M Services consu...,3.9,(148 Reviews),Private,"Mumbai,Maharashtra + 36 more",26 years old,501-1k employees (Global)
2709,Tsys Card Tech Ser...,4.2,(148 Reviews),"Columbus,Georgia + 1 more",38 years old,1k-5k employees (India),
2710,Watertec India,4.3,(148 Reviews),Private,"Coimbatore,Tamil Nadu + 44 more",25 years old,51-200 employees (India)
2711,Hindustan Syringes...,4.1,(148 Reviews),Private,"Faridabad,Haryana + 11 more",65 years old,51-200 employees (India)
2712,Einfochips,3.7,(148 Reviews),Private,"San Jose,California + 3 more",28 years old,1k-5k employees (India)
2713,UAE Exchange,4.0,(341 Reviews),Public,"Abu Dhabi,Abu Dhabi + 37 more",27 years old,5k-10k employees (Global)
2714,Sumitomo Chemical,4.2,(148 Reviews),Private,"Chuo City,Tokyo + 37 more",97 years old,1k-5k employees (India)
2715,United India Insur...,4.2,(147 Reviews),Public,"Chennai,Tamil Nadu + 56 more",84 years old,10k-50k employees (India)
2716,Gujarat Gas,4.5,(147 Reviews),Public,"Gandhinagar,Gujarat + 30 more",42 years old,1k-5k employees (India)
2717,TAL Manufacturing ...,4.0,(147 Reviews),Private,"Pune,Maharashtra + 5 more",22 years old,501-1k employees (India)
2718,Offshoot Agency,3.7,(147 Reviews),Private,Noida + 10 more,20 years old,501-1k employees (India)
2719,Tanishq Jewellery,4.4,(147 Reviews),Bengaluru + 63 more,28 years old,501-1k employees (India),
2720,Aptus Value Housin...,4.3,(147 Reviews),Private,"Chennai,Tamil Nadu + 64 more",13 years old,201-500 employees (India)
2721,Mettler-Toledo,3.6,(147 Reviews),Private,"‎Columbus,Ohio + 17 more",76 years old,10k-50k employees (Global)
2722,Venus Remedies,3.7,(147 Reviews),Public,"Panchkula,Haryana + 21 more",33 years old,501-1k employees (India)
2723,Patil Group,3.8,(147 Reviews),Hyderabad + 25 more,89 years old,11-50 employees (India),
2724,Call 2 Connect,3.2,(147 Reviews),"Mumbai,Maharashtra + 10 more",19 years old,1k-5k employees (Global),
2725,Prione Business Se...,4.0,(147 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 20 more",8 years old,501-1k employees (India)
2726,Navata Road Transp...,3.3,(147 Reviews),Partnership,"Vijayawada,Andhra Pradesh + 20 more",40 years old,1k-5k employees (Global)
2727,BIC Contracting,4.4,(147 Reviews),Dubai + 10 more,1k-5k employees (India),,
2728,Jay Chemical Indus...,4.1,(147 Reviews),Private,"Ahmedabad,Gujarat + 13 more",55 years old,501-1k employees (India)
2729,Cordlife Sciences ...,3.9,(147 Reviews),Private,"Kolkata,West Bengal + 30 more",21 years old,501-1k employees (Global)
2730,Harman Finochem,4.0,(147 Reviews),Private,"Mumbai,Maharashtra + 7 more",15 years old,501-1k employees (Global)
2731,Jindal Aluminium,4.2,(147 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",54 years old,1k-5k employees (India)
2732,Cotiviti,4.0,(147 Reviews),Private,"Atlanta,Georgia",43 years old,501-1k employees (India)
2733,Monsanto,4.7,(209 Reviews),Public,St. Louis + 28 more,121 years old,1k-5k employees (Global)
2734,Servion Global Sol...,3.3,(146 Reviews),Private,"Chennai,Tamil Nadu + 10 more",27 years old,1k-5k employees (Global)
2735,Grey Orange,3.6,(146 Reviews),Private,Gurgaon + 8 more,11 years old,501-1k employees (India)
2736,Thomson Digital,2.8,(146 Reviews),Private,"Noida,Uttar Pradesh + 6 more",60 years old,1k-5k employees (Global)
2737,Techavera Solution...,4.4,(146 Reviews),Noida + 3 more,12 years old,51-200 employees (India),
2738,Mann And Hummel Fi...,4.3,(146 Reviews),Private,"Schwieberdinger,Ludwigsburg + 7 more",80 years old,201-500 employees (India)
2739,Oerlikon Graziano ...,4.4,(146 Reviews),Private,Pfaffikon + 9 more,116 years old,1k-5k employees (India)
2740,Al Tasnim Enterpri...,3.8,(146 Reviews),Private,Muscat + 6 more,46 years old,201-500 employees (India)
2741,Canvera,3.4,(146 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 22 more",15 years old,501-1k employees (Global)
2742,Ivy Hospital,3.7,(146 Reviews),Private,Mohali + 10 more,14 years old,501-1k employees (India)
2743,Licious,4.0,(146 Reviews),Private,Bangalore + 15 more,7 years old,1k-5k employees (India)
2744,Romsons Group Of I...,4.1,(146 Reviews),Private,"Agra,Uttar Pradesh + 28 more",70 years old,201-500 employees (India)
2745,Resurgent India,4.8,(146 Reviews),Private,Gurgaon + 7 more,17 years old,201-500 employees (India)
2746,Taraashna Financia...,4.1,(146 Reviews),Private,Gurgaon + 41 more,10 years old,1k-5k employees (Global)
2747,Capital small Fina...,4.1,(146 Reviews),Jalandhar + 35 more,23 years old,1k-5k employees (India),
2748,Shakti Pumps,3.6,(146 Reviews),Public,"Dhar,Madhya Pradesh + 21 more",40 years old,1k-5k employees (Global)
2749,Karamtara Engineer...,3.1,(146 Reviews),"Mumbai,Maharashtra + 8 more",26 years old,1k-5k employees (Global),
2750,Aparna Enterprises,4.3,(146 Reviews),"Hyderabad/Secunderabad,Telangana + 18 more",32 years old,1k-5k employees (Global),
2751,Harjai Computers,4.6,(145 Reviews),Private,"Mumbai,Maharashtra + 5 more",27 years old,501-1k employees (India)
2752,Fingent,4.9,(145 Reviews),Private,"New York,New York + 2 more",19 years old,201-500 employees (India)
2753,Weizmann Forex,3.6,(145 Reviews),Public,"Mumbai,Maharashtra + 35 more",29 years old,1k-5k employees (Global)
2754,IMS People,3.7,(145 Reviews),Private,Ahmedabad + 14 more,16 years old,1k-5k employees (Global)
2755,Globant,4.2,(145 Reviews),Private,San Francisco + 1 more,19 years old,501-1k employees (India)
2756,Superhouse,3.7,(145 Reviews),Public,"Unnao,Uttar Pradesh + 6 more",42 years old,5k-10k employees (Global)
2757,TRINAMIX,4.4,(145 Reviews),Private,"San Jose,California + 3 more",10 years old,51-200 employees (India)
2758,Galore Networks,3.1,(145 Reviews),Private,"Chennai,Tamil Nadu + 33 more",17 years old,1k-5k employees (Global)
2759,PhyCARE Solutions,3.7,(145 Reviews),Private,"Bronx,New York + 2 more",22 years old,1k-5k employees (Global)
2760,EASi,3.7,(145 Reviews),Private,"Hanover,Maryland + 5 more",41 years old,501-1k employees (India)
2761,Affiliated Compute...,4.1,(145 Reviews),Private,Dallas + 9 more,34 years old,11-50 employees (India)
2762,Global Edge Softwa...,3.5,(145 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",17 years old,1k-5k employees (Global)
2763,Emirates Flight Ca...,4.5,(145 Reviews),Public,"Dubai,Dubai + 11 more",40 years old,201-500 employees (India)
2764,Policyboss.com,3.4,(145 Reviews),"Mumbai,Maharashtra + 18 more",19 years old,11-50 employees (Global),
2765,Aludecor Laminatio...,3.8,(145 Reviews),"Kolkata,West Bengal + 21 more",18 years old,201-500 employees (Global),
2766,JGC Corporation,4.3,(145 Reviews),Private,Kanagawa + 9 more,94 years old,5k-10k employees (Global)
2767,Signode,3.8,(145 Reviews),Private,"Glenview,Illinois + 24 more",109 years old,501-1k employees (India)
2768,APOLLO POWER SYSTE...,4.1,(145 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",37 years old,1k-5k employees (India)
2769,Ict Sms,3.9,(145 Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",13 years old,51-200 employees (India),
2770,MBL Infrastructure...,4.4,(145 Reviews),Public,"Delhi/NCR,Delhi + 12 more",27 years old,201-500 employees (India)
2771,Al-Futtaim Group,3.7,(538 Reviews),Private,"Dubai,Dubai + 12 more",92 years old,501-1k employees (India)
2772,LendingKart,3.1,(144 Reviews),Public,Ahmedabad + 16 more,8 years old,201-500 employees (India)
2773,SiliconIndia,2.6,(144 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",25 years old,501-1k employees (Global)
2774,RDC Concrete (Indi...,4.0,(144 Reviews),Private,"Mumbai,Maharashtra + 22 more",29 years old,201-500 employees (Global)
2775,Shah Technical Con...,3.8,(144 Reviews),Private,"Mumbai,Maharashtra + 30 more",13 years old,51-200 employees (India)
2776,Peregrine Guarding,3.9,(144 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",27 years old,50k-1 Lakh employees (Global)
2777,TIL,3.6,(144 Reviews),Public,Kolkata + 16 more,78 years old,501-1k employees (Global)
2778,Kcc Buildcon,4.1,(144 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",13 years old,1k-5k employees (India)
2779,Gojavas,4.4,(144 Reviews),Private,"Gurgaon/Gurugram,Haryana + 47 more",9 years old,1k-5k employees (Global)
2780,Continuum Managed ...,3.7,(144 Reviews),Private,"Tampa,Florida + 1 more",17 years old,1k-5k employees (Global)
2781,inTarvo Technologi...,3.7,(144 Reviews),Private,Noida + 16 more,27 years old,1k-5k employees (Global)
2782,Secure Value,3.5,(144 Reviews),Private,"Mumbai,Maharashtra + 42 more",20 years old,5k-10k employees (Global)
2783,GAVS Technologies,4.1,(144 Reviews),Private,"Princeton,New Jersey + 7 more",24 years old,1k-5k employees (India)
2784,Cotmac Electronics,4.2,(144 Reviews),Private,"Pune,Maharashtra + 10 more",31 years old,501-1k employees (Global)
2785,Box8,3.2,(144 Reviews),Private,Mumbai + 8 more,11 years old,1k-5k employees (India)
2786,Veritas Finance,4.4,(144 Reviews),Private,Chennai + 64 more,7 years old,1k-5k employees (India)
2787,Pyro Group,3.6,(144 Reviews),"Hyderabad/Secunderabad,Telangana + 25 more",23 years old,501-1k employees (Global),
2788,Solara Active Phar...,4.0,(144 Reviews),Public,"Chennai,Tamil Nadu + 10 more",4 years old,501-1k employees (India)
2789,ESDS Software Solu...,3.9,(144 Reviews),Private,Nashik + 8 more,17 years old,501-1k employees (India)
2790,STAR,3.7,(186 Reviews),"Mumbai,Maharashtra + 24 more",28 years old,501-1k employees (Global),
2791,AISECT,3.9,(143 Reviews),Private,"Bhopal,Madhya Pradesh + 40 more",37 years old,1k-5k employees (Global)
2792,Religare,3.8,(143 Reviews),Public,"New Delhi,Delhi + 47 more",38 years old,1k-5k employees (Global)
2793,Citrix,4.0,(143 Reviews),Private,"Fort Lauderdale,Florida + 2 more",33 years old,1k-5k employees (India)
2794,TIBCO Software,4.2,(143 Reviews),Private,"Palo Alto,California + 5 more",25 years old,1k-5k employees (India)
2795,SEED Infotech,3.5,(143 Reviews),Public,"Pune,Maharashtra + 12 more",28 years old,501-1k employees (Global)
2796,Balasore Alloys,3.7,(143 Reviews),Public,"Balasore,Odisha + 10 more",38 years old,1k-5k employees (Global)
2797,POSCO MAHARASHTRA ...,4.3,(143 Reviews),Private,Pohang-si + 8 more,10 years old,201-500 employees (India)
2798,GKB RX Lens,4.2,(143 Reviews),Private,"Kolkata,West Bengal + 18 more",63 years old,1k-5k employees (Global)
2799,SHYAM METALICS AND...,3.6,(143 Reviews),Private,"Kolkata,West Bengal + 10 more",27 years old,1k-5k employees (Global)
2800,Schneider Electric...,4.2,(143 Reviews),Public,Rueil-Malmaison + 19 more,186 years old,10k-50k employees (India)
2801,The Supreme Ind Lt...,4.3,(143 Reviews),Mumbai + 26 more,80 years old,1k-5k employees (Global),
2802,Bajaj Energy,4.3,(143 Reviews),Public,"Mumbai,Maharashtra + 15 more",14 years old,201-500 employees (India)
2803,BRLPS,3.9,(143 Reviews),Patna + 32 more,15 years old,1k-5k employees (Global),
2804,Stovekraft,3.7,(143 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",28 years old,1k-5k employees (Global)
2805,Rooman Technologie...,3.5,(143 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 35 more",23 years old,501-1k employees (Global)
2806,Ritz-Carlton,4.2,(143 Reviews),Private,Maryland + 12 more,39 years old,501-1k employees (India)
2807,MobileComm Technol...,3.6,(143 Reviews),"Gurgaon/Gurugram,Haryana + 23 more",20 years old,501-1k employees (Global),
2808,MapmyIndia,3.7,(143 Reviews),Delhi + 5 more,30 years old,201-500 employees (India),
2809,PC Financial Servi...,3.7,(143 Reviews),"Gurgaon/Gurugram,Haryana + 3 more",27 years old,1k-5k employees (Global),
2810,Muthoot Homefin In...,3.5,(143 Reviews),Private,"Mumbai,Maharashtra + 48 more",11 years old,501-1k employees (Global)
2811,C-quel Management ...,4.5,(143 Reviews),Kolkata + 11 more,22 years old,11-50 employees (India),
2812,Stanza Living,3.1,(143 Reviews),Private,Delhi + 13 more,5 years old,501-1k employees (India)
2813,MMC Infotech Servi...,3.6,(143 Reviews),Private,"Chennai,Tamil Nadu + 2 more",32 years old,201-500 employees (India)
2814,IKEA,4.2,(143 Reviews),Private,Delft + 11 more,79 years old,10k-50k employees (Global)
2815,Toshiba,4.3,(384 Reviews),Private,Tokyo + 22 more,147 years old,201-500 employees (India)
2816,National Institute...,4.2,(314 Reviews),Public,New Delhi + 24 more,15 years old,51-200 employees (Global)
2817,Cogencis Informati...,3.7,(142 Reviews),Private,"Mumbai,Maharashtra + 5 more",15 years old,201-500 employees (Global)
2818,Mobius Knowledge S...,3.7,(142 Reviews),Private,"Chennai,Tamil Nadu",20 years old,1k-5k employees (Global)
2819,Bharat Rasayan,4.2,(142 Reviews),Public,"Delhi/NCR,New Delhi + 9 more",33 years old,201-500 employees (India)
2820,ESAB,4.2,(142 Reviews),Public,"Chennai,Tamil Nadu + 14 more",35 years old,501-1k employees (India)
2821,Reliance Petroleum,3.9,(142 Reviews),Public,Ahemdabad + 26 more,14 years old,201-500 employees (India)
2822,Oberoi Realty,3.6,(142 Reviews),Public,"Mumbai,Maharashtra + 5 more",42 years old,501-1k employees (Global)
2823,Microsense,3.6,(142 Reviews),"Collegeville,Pennsylvania + 24 more",40 years old,201-500 employees (India),
2824,Cogencis Informati...,3.7,(142 Reviews),Private,"Mumbai,Maharashtra + 5 more",15 years old,201-500 employees (Global)
2825,Axles India,3.7,(142 Reviews),Private,"Chennai,Tamil Nadu + 11 more",41 years old,1k-5k employees (Global)
2826,Suburban Diagnosti...,4.0,(142 Reviews),Private,"Mumbai,Maharashtra + 10 more",28 years old,51-200 employees (India)
2827,Banswara Syntex,4.2,(142 Reviews),Public,"Banswara,Rajasthan + 8 more",46 years old,10k-50k employees (India)
2828,Data Entry,3.8,(142 Reviews),Private,New Delhi + 58 more,23 years old,51-200 employees (India)
2829,Solartis Technolog...,3.7,(142 Reviews),"Manhattan Beach,California",18 years old,501-1k employees (Global),
2830,Woodland,4.1,(142 Reviews),Private,Quebec + 44 more,30 years old,5k-10k employees (Global)
2831,ZIM Laboratories,3.7,(142 Reviews),Public,"Nagpur,Maharashtra + 5 more",38 years old,201-500 employees (India)
2832,Impetus Technologi...,4.1,(142 Reviews),Private,Los Gatos + 13 more,31 years old,1k-5k employees (India)
2833,Toyota Tsusho,4.2,(1.4k Reviews),Public,"Nagoya,Aichi + 13 more",23 years old,50k-1 Lakh employees (Global)
2834,LuLu Group Interna...,4.1,(197 Reviews),Private,"Abu Dhabi,Abu Dhabi + 20 more",56 years old,1k-5k employees (India)
2835,Becton Dickinson,4.2,(152 Reviews),"Franklin Lakes,New Jersey + 19 more",21 years old,50k-1 Lakh employees (Global),
2836,L&T Valves,3.7,(141 Reviews),Private,"Chennai,Tamil Nadu + 5 more",61 years old,1k-5k employees (India)
2837,Sahajanand Laser T...,3.5,(141 Reviews),Public,"Gandhinagar,Gujarat + 16 more",33 years old,501-1k employees (Global)
2838,MidasCare Pharmace...,3.6,(141 Reviews),Private,"Mumbai,Maharashtra + 25 more",36 years old,201-500 employees (India)
2839,Bal Pharma,3.7,(141 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 16 more",35 years old,501-1k employees (India)
2840,Lloyd Electric & E...,4.0,(141 Reviews),Public,"Delhi/NCR,Delhi + 33 more",33 years old,5k-10k employees (Global)
2841,Fourrts India Labo...,3.6,(141 Reviews),Private,"Chennai,Tamil Nadu + 22 more",45 years old,1k-5k employees (Global)
2842,NetApp,4.1,(141 Reviews),Private,"Sunnyvale,California + 2 more",30 years old,1k-5k employees (India)
2843,Cheil India,3.0,(141 Reviews),Private,Gurugram + 12 more,19 years old,501-1k employees (Global)
2844,Alghanim Internati...,3.9,(141 Reviews),Private,Kuwait City + 9 more,62 years old,10k-50k employees (Global)
2845,Securens System,3.7,(141 Reviews),Private,Mumbai + 26 more,10 years old,201-500 employees (India)
2846,Laser Power & Infr...,3.7,(141 Reviews),Private,"Kolkata,West Bengal + 18 more",34 years old,1k-5k employees (Global)
2847,Gyan Dairy,3.9,(141 Reviews),Private,"Lucknow,Uttar Pradesh + 11 more",15 years old,501-1k employees (Global)
2848,Alghanim Internati...,3.9,(141 Reviews),Private,Kuwait City + 9 more,62 years old,10k-50k employees (Global)
2849,Onkar Infotech,3.9,(141 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",22 years old,201-500 employees (Global)
2850,Zebronics,3.6,(141 Reviews),Private,"Chennai,Tamil Nadu + 33 more",25 years old,1k-5k employees (Global)
2851,Jagran Prakashan,4.1,(453 Reviews),Public,Kanpur + 40 more,47 years old,5k-10k employees (Global)
2852,Voylla,3.7,(140 Reviews),Private,Jaipur + 39 more,10 years old,201-500 employees (India)
2853,CSIR,4.4,(140 Reviews),Public,"Delhi/NCR,New Delhi + 25 more",77 years old,5k-10k employees (Global)
2854,NTT,4.1,(140 Reviews),"Melbourne,Victoria + 20 more",34 years old,1k-5k employees (India),
2855,Alchem Internation...,3.5,(140 Reviews),Private,"Gurgaon/Gurugram,Haryana + 18 more",87 years old,1k-5k employees (Global)
2856,Invensis Technolog...,3.9,(140 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",22 years old,1k-5k employees (Global)
2857,Jeeves Consumer Se...,3.8,(140 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",15 years old,5k-10k employees (India)
2858,Can-Pack,4.2,(140 Reviews),Private,"Aurangabad,Maharashtra + 6 more",30 years old,501-1k employees (India)
2859,Atul Auto,3.4,(140 Reviews),Public,"Rajkot,Gujrat + 23 more",40 years old,1k-5k employees (India)
2860,e-Procurement Tech...,3.1,(140 Reviews),Private,"Ahmedabad,Gujarat + 14 more",16 years old,501-1k employees (Global)
2861,The Indian Hotels ...,4.4,(140 Reviews),Private,"Mumbai,Maharashtra + 26 more",123 years old,1k-5k employees (India)
2862,Vascon Engineers,3.6,(140 Reviews),Public,"Pune,Maharashtra + 10 more",36 years old,501-1k employees (India)
2863,TowerVision India,4.0,(140 Reviews),Private,Chennai + 21 more,16 years old,501-1k employees (Global)
2864,Daelim Industrial ...,4.3,(140 Reviews),Private,Seoul + 12 more,83 years old,51-200 employees (India)
2865,Feedback Energy Di...,3.7,(140 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",10 years old,201-500 employees (India)
2866,ABI SHOWA TECH,4.0,(140 Reviews),"Chennai,Tamil Nadu + 6 more",31 years old,201-500 employees (Global),
2867,Alcatel-Lucent,4.3,(140 Reviews),Public,Boulogne Billancourt Cedex + 17 more,30 years old,201-500 employees (India)
2868,Rainbow Childrens ...,4.2,(140 Reviews),Private,Hyderabad + 8 more,23 years old,1k-5k employees (Global)
2869,Cyber Infrastructu...,3.7,(140 Reviews),"San Jose,California",19 years old,501-1k employees (India),
2870,Invesco,4.2,(140 Reviews),Private,"Atlanta,Atlanta + 2 more",87 years old,5k-10k employees (Global)
